Vehicle Technology,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
NaturalGasCar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GasolineHybridCar,0.067813013,0.062962663,0.056147336,0.060374659,0.063858445,0.069472787,0.069781715,0.070017264,0.070585434,0.070594189,0.070274722,0.069246428,0.067722132,0.066318091,0.064790068,0.063145348
NaturalGasHybridCar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plugin10Car,0.004093029,0.006263863,0.009752836,0.012842334,0.016787814,0.014493029,0.015565374,0.0164265,0.017069502,0.017579813,0.017959113,0.018606325,0.019235398,0.020023043,0.020936501,0.021981272
Plugin20Car,0.000744703,0.001232264,0.002070738,0.00297677,0.004346128,0.002987321,0.00329767,0.003611434,0.003913819,0.004190103,0.004396619,0.00475972,0.005126725,0.005539655,0.00598989,0.006485299
Plugin40Car,0.001076554,0.000867602,0.000683846,0.001129661,0.001915255,0.000721436,0.000766382,0.000828742,0.000915577,0.000995816,0.001045929,0.001173649,0.001317509,0.001486131,0.001679345,0.001902358
FuelCellCar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BatteryElectric100Car,0.001600732,0.001869333,0.002154192,0.002810138,0.003691993,0.001850619,0.002031477,0.002220798,0.002435063,0.002645855,0.002840448,0.003190528,0.003558698,0.004004964,0.004516324,0.005098486
BatteryElectric200Car,7.92E-07,2.30E-06,6.48E-06,1.37E-05,2.84E-05,2.21E-05,3.02E-05,4.10E-05,5.59E-05,7.67E-05,0.000106695,0.000143881,0.000192659,0.00026078,0.000354842,0.000485541
BatteryElectric300Car,1.67E-09,8.02E-09,3.73E-08,1.31E-07,4.47E-07,5.74E-07,9.62E-07,1.60E-06,2.68E-06,4.50E-06,7.66E-06,1.26E-05,2.05E-05,3.35E-05,5.48E-05,8.98E-05
